cc_number|cc_expiry|cc_ccv|cc_card_type|client_id|token
4754313966231539|Discover|880|Gold|07be4180-233a-45a3-a975-e4de459e7e21|093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f
581324484780|VISA 13 digit|166|Classic|9d483319-b8e5-417e-8ef9-806c35ee1780|898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a
4144822235261031447|Mastercard|921|Gold|1a8c91b5-b14d-434b-8218-5715fcf5f86f|e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add
2710430888973696|VISA 19 digit|971|Classic|990d84e5-e868-4d79-9cff-511cbc5afb61|eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d
4067991486726|Maestro|827|Classic|b08aa4ee-efe4-4629-9e07-c807b42cc9a5|ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25
4370483825752344563|VISA 19 digit|578|Classic|601f0ae4-5d21-4710-b3c9-bc8b43e5e609|cb503ab9cd825f0a1bff948078aaf9ec6847cb3b9b0005a3870c61640743fc92
213110495272585|VISA 19 digit|854|Classic|4ba043e0-3de0-447b-96da-f256b2abd387|f1d8d9a48101805faba7620f6441560e2b143be68055c5d0bcd89e3c5bb60d16
676388601244|Mastercard|742|Platinum|642b5d21-91d9-4a6f-8798-2ef6eda1df30|6504c249ea3d25d755a8a7ba11d6cb13742fdcafe93fad1e2c5ba5a5b881bbbe
4305199661489751|JCB 16 digit|291|Gold|7ebca44d-e244-4bd1-a9c5-12415da6f973|ff35144235e09f6ce3e1c8e70a2f8fb1794f7c9e6caaf0cf61d3d9e37da77126
30543958897954|VISA 16 digit|152|Gold|e76e03a2-9e5e-4fd1-92a3-0c80abc07964|aacb7ceb54ea63acf6a78ef1c8077079d35d3290e8c740d5f03cadcd1194cdca
4293320048733984|VISA 16 digit|671|Gold|b202045d-ff8d-47d0-bb8b-93e60167fc44|bd178bcf85e8498ebebe40b9b3dd10cb8bbbb1701524221a3e48b3c625d89517
3521861356776632|Mastercard|900|Classic|14687716-0db2-4ec1-8f62-ceca93a839cc|67bda1fe6b1e4ab1b67366ab65dd26bf37138ba1dc9d1148cd9f3c16138d7725
4611134996305|Mastercard|482|Gold|be3d0405-4765-404a-b3cf-c233ebf621fd|05e6946700e1841bdabcfc2ff29627acbf7a97b88a2a88c81be7cbed7fae94eb
30106707103171|American Express|398|Platinum|7969e854-32e6-4994-a8cc-a44f7a07fd1f|89ceb808f1ed35a9bf2c577e00742e41d58988d06a04026ccfe53a72158d52ab
348585460739320|JCB 16 digit|994|Platinum|8c0c00bd-8be3-4702-8dbb-16540a0b17db|04ee6d3d575095a01143b2169ea75316db248e40da6001a65e198be976a3f723
4304602019018674329|VISA 16 digit|354|Platinum|d6ce6309-1b30-4998-8a9f-06fc8b432453|b9f5a8fb8d4ca7bfb19f8b40886a00d0b81a5de23b4a9f3b2bf4514440989730
4008385261971354453|VISA 19 digit|023|Gold|3194a45e-ea6c-4548-b8f3-157a1cd83d33|09434acdca42f72791037644956b22b648f1398d158ea459d38dfccc61ded032
38848025764125|JCB 15 digit|575|Classic|bdaf88fe-bd62-4040-b9ed-034a94cb91c8|e72a1545b182d1ff72696fb33422f1c4936853338c2270d30b4b1bdf99b1aef0
38272754866813|JCB 15 digit|000|Platinum|a7b17b5f-1281-47be-b1df-600072035c65|faacf004b5ab6d76e269702993d4b5c9f9aba4e0f0dd4387241cd8e961970df6
6551066457634575|JCB 16 digit|939|Gold|1f83a1d0-783e-418b-8646-25684deb0693|5c4e7832e924e35f8f1af0ede885b9cc9fdb7a6fc66217a057937728d8004a6e
378862215716884|JCB 16 digit|614|Classic|bc406eee-cffc-426d-acf4-6f4f25a63593|30b3f00823bebcfa1dbedf1fd5fa098a955b0118d6485e4160b03fd7c7f1d767
3539967954816769|JCB 16 digit|7168|Gold|682e7aac-dfee-417b-a88e-82b119998fd8|06c611fed0dbdf09ec6b6697d5df622c05ca3e35c12214970e5b22b9a94930bb
3561770363332647|VISA 13 digit|614|Gold|c41b49a1-eaf5-4fe5-803d-6d1ba24c63f3|74197889931d2cacda92160f48d2e253a8101bc362e184312f892ad7ef070902
213103204345073|Maestro|5501|Classic|ac4b2abf-f0ce-42c8-be71-606f397e70ef|7900eda467891a3044c345ae7be60003871539a3127d9023b513284d893d56ec
349435056663352|Maestro|2187|Platinum|31a4958b-3f81-4e1c-bbfa-0f3c2c08510f|2fbd18d7f7ebaabb2f07361f7a60f05ad75ee2d33736b9a7799fe51bb4bce45f
