merchant_id|merchant_name|mcc|email|street|city|state|country|zip|latitude|longitude|owner_id|owner_name|terminal_ids
wEkQQHiBrmXZcS|Kelly, Fisher and Serrano Veterinary LLC|742|tthompson@kelly.net|73796 Brandi Freeway Apt. 348|Scotch Plains|New_York|US||40.65538|-74.38987|qCwdERilvb|Robert Barrett MD|tid-j6-9591326j
YOwZjsYxJhBSnp|Wong, Nicholson and Waters Veterinary Group|742|mark30@wong.net|5314 Sullivan Estate|Kensington|New_York|US||40.64621|-73.97069|JmBVBFdzxu|Kevin Ryan|tid-A2-8718026S
TwdshFRPhSOVrn|Ellis, Murphy and Stone Veterinary PLC|742|jodimorris@ellis.net|399 Johnson Crescent|Boston|New_York|US||42.35843|-71.05977|SmpeFCZfQi|Isaac Morales|tid-B2-1933145w
ZJqYSNRLxMkFgO|Clark PLC Veterinary Group|742|psavage@clark.com|61054 Bryant Trace|Hutto|Chicago|US||30.5427|-97.54667|ypzVvHsoVS|Angela Fernandez|tid-U6-2966013Z
EMpEHdutFmqCQc|Mcgee, Bean and Lee Veterinary PLC|742|zmelendez@mcgee.biz|3593 Berg Shoals|Troutdale|Los_Angeles|US||45.53929|-122.38731|btWqHOgPri|Kimberly Trujillo|tid-j7-9501445z
KFLZjQQrDxkwhW|Bowman and Sons Veterinary PLC|742|yvillegas@bowman.com|609 Gabriel Fork Apt. 921|Redding|Los_Angeles|US||40.58654|-122.39168|RpSuNeNziQ|Teresa Murphy|tid-G2-962611l
YuQmvHLBSfRBym|Smith-Moore Veterinary Ltd|742|gsteele@smithmoore.com|96934 Jones Field Apt. 160|Clermont|New_York|US||28.54944|-81.77285|rVLsGZikpQ|David Mendez|tid-a6-8029577M
bcOYguawIGUCct|Gibson-Lopez Veterinary Group|742|tburns@gibsonlopez.net|124 Thompson Mount Apt. 241|San Gabriel|Los_Angeles|US||34.09611|-118.10583|hfgKPQDHNw|Michelle Walters|tid-j3-8039974d
SRhbAKyyyVhuiI|Petersen, Mejia and Morgan Veterinary Ltd|742|fmoore@petersen.com|74378 Valdez Port Suite 255|Tupelo|Chicago|US||34.25807|-88.70464|xJYBtOOVLg|Tara Graham DDS|tid-Z1-1159275Q
wjgGCCJMLRlAzR|Cruz, Chung and Archer Veterinary PLC|742|melissavargas@cruz.net|67130 White Extension|Scotch Plains|New_York|US||40.65538|-74.38987|GmpndvrqpU|Leah Russell|tid-f2-1664649D
yTdteaQCDUeXNS|Long Inc Veterinary Group|742|tchen@long.biz|648 Shannon Forks Suite 797|Scarsdale|New_York|US||41.0051|-73.78458|YCxNAtKyjl|Kiara Wall|tid-W0-0268873K
ikiqAbhzObGsan|Valdez Ltd Veterinary and Sons|742|robertsontara@valdez.biz|5586 Harper Hill Suite 017|Nutley|New_York|US||40.82232|-74.15987|LydECqkZEL|Nicholas Martin|tid-Y6-1637915x
UDeQcRneOVFYeS|Jackson Group Veterinary Ltd|742|ginagraves@jackson.biz|3357 Kari Valley Apt. 908|Copperas Cove|Chicago|US||31.12406|-97.90308|euJaAlULDW|John Calhoun|tid-D7-3662874Z
